car_model,functionality,total_seats,height,width,length
Kia Sonet,",petrol,diesel,roof,abs",5,1642,1790,3995
01 Carnival ,",diesel,roof,abs",7,1755,1985,5115
mahindra,",petrol,roof,abs",5,1627,1821,3995
Mahindra Marazzo eBrochure,",petrol,roof,abs,climate control",8,1774,1866,4585
SWIFT Brochure EDIT 1,",petrol,roof,abs,climate control",5,0,1735,3845
hyundai hyundai,",petrol,cng,abs",5,0,1645,3940
0,",roof,abs",0,1995,1820,4456
The 7_brochure,",petrol,roof",5,1425,1795,4455 
 amze,",petrol,diesel,roof,abs,climate control",5,0,1850,4180 
Hyundai IONIQ,",petrol,diesel,roof,abs,climate control,automatic transmission",5,0,1729,4440
xuv 300,",petrol,diesel,roof,abs",5,0,1821,3995
Brochure Web NDVR Sport 20,",diesel,roof,abs",0,1837,1869,4903
0,",roof",0,0,0,0
0,",petrol,diesel,roof,abs",0,0,0,0
0,",petrol,diesel,roof,abs,climate control",0,0,1748,0
hyundai,",petrol,cng,diesel,roof,abs",5,1610,1680,3995
BMW 2GC (F44) Brochure,",petrol,diesel,roof",5,1612,1800,4568 
DR_15397783-G16-PSL72-001_cover,",petrol,roof,abs,climate control",5,1403,1774,4454 
BMW M340i Brochure,",petrol,roof,abs,automatic transmission",5,1434,1799,4319 
BMW M340i Brochure,",petrol,roof,abs,automatic transmission",5,1434,1799,4319 
BMW 8,",petrol,diesel,roof",5,1407,1932,5082 
BMW X1 Brochure,",petrol,diesel,roof",5,1612,1821,4447 
BMW X4 Brochure,",petrol,diesel,roof,abs",5,1621,1918,4752 
BMW X5 M Brochure,",petrol,roof",5,4922 ,2004,4922 
BMW X6 Brochure,",petrol,roof",5,4935,2004,4935 
BMW X3 (G01) Brochure,",petrol,diesel,roof,abs",5,1676,1891 , 4708
BMW X5 (G05) Brochure,",petrol,diesel,roof,abs",0,1526,1824,4360
Mahindra Bolero eBrochure,",roof,abs",7,1880,1745,3995
CSR1826 Tata Tiago WEB Brochure_GNCAP_REV 31MAR21-Final AW final,",petrol,roof,abs",0,0,3765,4130
SS_2021_03_ MAR_TATA MOTORS LIMITED_TIGOR_11558793_TIGOR MCE_A4_BROCHUR_WEB,",petrol,roof,abs,climate control",0,1532,1677,3993
890 Rev_Tata Safari_Brochure A4_CP_CTC,",diesel,roof,abs",6,1786,1894,4661
AK_2021_02_FEB_TATA MOTORS LIMITED_NEXON_ 11535490_RED NEXON NEW RED BROCHURE_A4_FOR WEB_02,",petrol,diesel,roof,abs,climate control",0,0,3993,3994
Brochure Flair Web 2021,",petrol,diesel,roof,abs,climate control",0,1570,1737,3954
Brochure Aspire Web 2021,",petrol,diesel,abs,climate control",0,1525,1704,3995
Web Brochure Eco SE 2021,",petrol,diesel,roof,abs",8,0,0,0
