car_model,functionality,class,total_seats,height,width,length,petrol,diesel,roof,abs,climate control,cng,automatic transmission
Kia Sonet,",petrol,diesel,roof,abs",1,5,1642,1790,3995,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01 Carnival ,",diesel,roof,abs",2,7,1755,1985,5115,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
mahindra,",petrol,roof,abs",1,5,1627,1821,3995,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Mahindra Marazzo eBrochure,",petrol,roof,abs,climate control",2,8,1774,1866,4585,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
SWIFT Brochure EDIT 1,",petrol,roof,abs,climate control",1,5,0,1735,3845,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
hyundai hyundai,",petrol,cng,abs",1,5,0,1645,3940,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
0,",roof,abs",2,0,1995,1820,4456,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
The 7_brochure,",petrol,roof",2,5,1425,1795,4455 ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
 amze,",petrol,diesel,roof,abs,climate control",2,5,0,1850,4180 ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Hyundai IONIQ,",petrol,diesel,roof,abs,climate control,automatic transmission",2,5,0,1729,4440,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
xuv 300,",petrol,diesel,roof,abs",1,5,0,1821,3995,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Brochure Web NDVR Sport 20,",diesel,roof,abs",2,0,1837,1869,4903,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
0,",roof",1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
0,",petrol,diesel,roof,abs",1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
0,",petrol,diesel,roof,abs,climate control",1,0,0,1748,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
hyundai,",petrol,cng,diesel,roof,abs",1,5,1610,1680,3995,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
BMW 2GC (F44) Brochure,",petrol,diesel,roof",2,5,1612,1800,4568 ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
DR_15397783-G16-PSL72-001_cover,",petrol,roof,abs,climate control",2,5,1403,1774,4454 ,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
BMW M340i Brochure,",petrol,roof,abs,automatic transmission",2,5,1434,1799,4319 ,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
BMW M340i Brochure,",petrol,roof,abs,automatic transmission",2,5,1434,1799,4319 ,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
BMW 8,",petrol,diesel,roof",2,5,1407,1932,5082 ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BMW X1 Brochure,",petrol,diesel,roof",2,5,1612,1821,4447 ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BMW X4 Brochure,",petrol,diesel,roof,abs",2,5,1621,1918,4752 ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
BMW X5 M Brochure,",petrol,roof",2,5,4922 ,2004,4922 ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BMW X6 Brochure,",petrol,roof",2,5,4935,2004,4935 ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BMW X3 (G01) Brochure,",petrol,diesel,roof,abs",2,5,1676,1891 , 4708,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
BMW X5 (G05) Brochure,",petrol,diesel,roof,abs",2,0,1526,1824,4360,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Mahindra Bolero eBrochure,",roof,abs",2,7,1880,1745,3995,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CSR1826 Tata Tiago WEB Brochure_GNCAP_REV 31MAR21-Final AW final,",petrol,roof,abs",2,0,0,3765,4130,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
SS_2021_03_ MAR_TATA MOTORS LIMITED_TIGOR_11558793_TIGOR MCE_A4_BROCHUR_WEB,",petrol,roof,abs,climate control",1,0,1532,1677,3993,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
890 Rev_Tata Safari_Brochure A4_CP_CTC,",diesel,roof,abs",2,6,1786,1894,4661,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
AK_2021_02_FEB_TATA MOTORS LIMITED_NEXON_ 11535490_RED NEXON NEW RED BROCHURE_A4_FOR WEB_02,",petrol,diesel,roof,abs,climate control",1,0,0,3993,3994,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Brochure Flair Web 2021,",petrol,diesel,roof,abs,climate control",1,0,1570,1737,3954,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Brochure Aspire Web 2021,",petrol,diesel,abs,climate control",1,0,1525,1704,3995,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Web Brochure Eco SE 2021,",petrol,diesel,roof,abs",2,8,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
